[2026-06-29 16:04:34] === 1/3 Google Places photos ===
Google enriching 5459 places (photos=True)
  4960/5459 — matched 3359, updated 3359, photos 2707
  4970/5459 — matched 3369, updated 3369, photos 2717
  4980/5459 — matched 3379, updated 3379, photos 2726
  4990/5459 — matched 3389, updated 3389, photos 2736
  5000/5459 — matched 3398, updated 3398, photos 2744
  5010/5459 — matched 3408, updated 3408, photos 2752
  5020/5459 — matched 3418, updated 3418, photos 2760
  5030/5459 — matched 3428, updated 3428, photos 2769
  5040/5459 — matched 3438, updated 3438, photos 2777
  5050/5459 — matched 3448, updated 3448, photos 2782
  5060/5459 — matched 3456, updated 3456, photos 2785
  5070/5459 — matched 3466, updated 3466, photos 2789
  5080/5459 — matched 3475, updated 3475, photos 2793
  5090/5459 — matched 3485, updated 3485, photos 2797
  5100/5459 — matched 3494, updated 3494, photos 2804
  5110/5459 — matched 3504, updated 3504, photos 2812
  5120/5459 — matched 3514, updated 3514, photos 2818
  5130/5459 — matched 3524, updated 3524, photos 2823
  5140/5459 — matched 3534, updated 3534, photos 2825
  5150/5459 — matched 3544, updated 3544, photos 2830
  5160/5459 — matched 3554, updated 3554, photos 2836
  5170/5459 — matched 3564, updated 3564, photos 2843
  5180/5459 — matched 3574, updated 3574, photos 2848
  5190/5459 — matched 3581, updated 3581, photos 2854
  5200/5459 — matched 3591, updated 3591, photos 2858
  5210/5459 — matched 3598, updated 3598, photos 2861
  5220/5459 — matched 3607, updated 3607, photos 2863
  5230/5459 — matched 3616, updated 3616, photos 2869
  5240/5459 — matched 3626, updated 3626, photos 2872
  5250/5459 — matched 3635, updated 3635, photos 2873
  5260/5459 — matched 3645, updated 3645, photos 2881
  5270/5459 — matched 3654, updated 3654, photos 2885
  5280/5459 — matched 3664, updated 3664, photos 2891
  5290/5459 — matched 3674, updated 3674, photos 2897
  5300/5459 — matched 3683, updated 3683, photos 2901
  5310/5459 — matched 3693, updated 3693, photos 2906
  5320/5459 — matched 3702, updated 3702, photos 2907
  5330/5459 — matched 3712, updated 3712, photos 2913
  5340/5459 — matched 3722, updated 3722, photos 2921
  5350/5459 — matched 3732, updated 3732, photos 2930
  5360/5459 — matched 3742, updated 3742, photos 2938
  5370/5459 — matched 3752, updated 3752, photos 2948
  5380/5459 — matched 3762, updated 3762, photos 2955
  5390/5459 — matched 3772, updated 3772, photos 2963
  5400/5459 — matched 3780, updated 3780, photos 2971
  5410/5459 — matched 3789, updated 3789, photos 2977
  5420/5459 — matched 3798, updated 3798, photos 2984
  5430/5459 — matched 3807, updated 3807, photos 2988
  5440/5459 — matched 3816, updated 3816, photos 2990
  5450/5459 — matched 3824, updated 3824, photos 2996
Done: matched 3832/5459, updated 3832, photos 3003
Cache: /Users/paulbloch/dharma-centers/scripts/google-places-cache.json
[2026-06-29 17:48:10] === 2/3 Fallback photos (website, Wikipedia, Commons) ===

> dharma-centers@0.1.0 download-place-photos
> tsx scripts/download-place-photos.ts


🖼  Place photos: 2456 to process

  💾 Adelaide Zen Group → /places/4d46dc3c5607.jpg (35 KB)
  💾 Albuquerque Zen Center → /places/54e272e28de2.jpg (65 KB)
